word;D20181943.txt;D20181937.txt;D20181947.txt;D20181950.txt
internet;0;0;2;0
absolwent;0;0;1;0
administracja;5;0;1;9
adres;0;0;2;0
akceptacja;0;0;2;0
akt;0;1;0;0
akustyk;0;0;3;0
alarmowy;1;0;2;0
alba;1;0;1;0
algebra;0;0;2;0
analiza;0;0;1;0
analogiczny;1;0;0;0
antynomiczny;0;1;0;0
artyku³;0;7;4;0
aspekt;0;0;2;0
audiowizualny;0;0;1;0
autoryzowaæ;0;0;1;0
awatar;1;0;0;0
bar;0;0;6;0
barwa;1;0;0;0
batymetryczny;0;0;1;0
baza;0;0;2;0
benefit;0;0;0;2
bez;0;0;1;0
bezosobowy;0;0;0;2
bezpieczeñstwo;0;0;7;0
bia³a;1;0;0;0
bia³y;2;0;0;0
biec;1;0;0;0
bie¿eæ;0;0;1;2
biura;0;0;1;0
biuro;0;0;6;0
biurowy;0;0;2;0
boczny;0;0;1;0
bok;1;0;0;0
brak;0;0;1;0
brzmienie;5;1;0;0
budowla;0;0;1;0
budownictwo;0;0;0;4
bud¿et;0;0;0;7
bud¿etowy;0;0;0;1
burta;0;0;1;0
bycie;3;0;0;0
bóg;3;0;0;0
b³¹d;0;0;3;0
b³êkit;1;0;0;0
b³êkitny;1;0;0;0
category;0;0;1;0
ca³kowity;0;0;1;0
cel;0;0;2;0
centralne;0;0;0;4
centymetr;15;0;0;0
charakterystyka;0;0;2;0
charakteryzowaæ;0;0;1;0
ciek;0;0;3;0
ciemny;1;0;0;0
cofniêcie;0;0;2;0
cofn¹æ;0;0;2;0
competence;0;0;1;0
cumowaæ;0;0;2;0
cybernetyczny;0;0;4;0
cyfryzacja;0;0;0;1
cyrkulacja;0;0;1;0
cywilny;0;0;0;4
czas;1;0;6;0
czerwiec;0;3;0;0
czerwieniæ;1;0;0;0
czerwona;1;0;0;0
czerwone;1;0;0;0
czêsty;2;0;0;5
czêœæ;0;0;1;3
cz³onek;0;0;0;4
dalej;0;0;3;0
dana;0;0;14;0
dany;0;0;1;0
denny;0;0;1;0
desygnacja;1;0;0;0
dna;0;0;1;0
dnia;0;0;1;0
dobry;0;0;2;0
dodatkowy;0;0;1;0
dokonanie;0;0;0;1
dokonywaæ;0;0;1;0
dokument;0;0;5;0
dokumentacja;0;0;1;0
dolny;3;0;0;0
dopuszczalnoœæ;0;2;0;0
dorobek;0;0;1;0
dostatek;0;0;2;0
dotychczasowy;1;0;0;0
dotyczyæ;0;0;0;1
dowód;0;0;1;0
do³¹czaæ;0;0;1;0
doœwiadczenie;0;1;3;0
drewno;1;0;0;0
droga;0;0;1;0
drzewce;5;0;0;0
dwudzielny;1;0;0;0
dydaktyczny;0;0;2;0
dyplom;0;0;17;0
dyplomu;0;0;1;0
dziaæ;1;0;0;3
dzia³;0;0;0;1
dzia³alnoœæ;0;0;1;0
dzia³anie;1;0;0;0
dzienia;0;0;2;0
dziennik;5;0;9;2
dzieñ;7;8;11;5
d³ugoœæ;4;0;0;0
echosonda;0;0;1;0
efekt;0;0;1;0
egzamin;0;0;1;0
egzaminowaæ;0;0;1;0
egzystencja;3;0;3;0
elektromagnetyczny;0;0;1;0
elektroniczny;0;0;1;0
element;1;0;3;0
elipsoidalny;0;0;1;0
emblemat;1;0;0;0
emisja;2;0;0;0
estymowaæ;0;0;1;0
fakt;0;0;1;0
fala;0;0;4;0
filtrowaæ;0;0;1;0
fizyczny;0;0;1;0
fizyk;0;0;2;0
for;0;0;2;0
forma;0;0;1;0
formalny;0;0;1;0
fotograf;0;0;1;0
frêdzla;1;0;0;0
fundator;1;0;0;0
fundusz;0;0;0;4
gdynia;0;0;1;0
geodezja;0;0;2;0
geodezyjny;0;0;1;0
geofizyk;0;0;3;0
geografia;0;0;1;0
geologia;0;0;4;0
geometria;0;0;1;0
geometryczny;0;0;1;0
godzina;0;0;5;0
god³o;6;0;0;0
gotowe;0;0;1;0
grawimetria;0;0;2;0
grupa;0;0;2;2
gwintowaæ;1;0;0;0
gwóŸdŸ;1;0;0;0
górny;2;0;0;0
g³ówny;5;0;0;0
herb;1;0;0;0
holowaæ;0;0;2;0
honor;2;0;0;0
hydroakustyczny;0;0;3;0
hydroakustyk;0;0;2;0
hydrograf;0;0;26;0
hydrografia;0;0;1;0
hydrograficznego;0;0;1;0
hydrograficzny;0;0;34;0
hydrograficznych;0;0;1;0
hydrographic;0;0;1;0
hydrotechniczny;0;0;1;0
hymn;1;0;0;0
identyfikacja;0;1;0;2
iho;0;0;1;0
imiê;0;0;4;0
inercjalny;0;0;2;0
informacja;0;0;3;1
informatyczny;0;0;1;0
informatyk;0;0;1;0
informatyzacja;0;0;0;4
informowaæ;0;0;1;0
infrastruktura;0;0;0;1
inicja³;1;0;0;0
instruktor;0;0;1;0
instytucja;0;0;10;0
integracja;0;0;1;0
intensyfikacja;0;0;0;2
internet;0;0;2;0
interpolacja;0;0;1;0
inwestycja;0;0;0;1
jakoœæ;0;0;1;0
jednog³oœnie;0;2;0;0
jednostka;7;0;1;2
jednowi¹zkowy;0;0;2;0
jest;0;1;0;0
jêdrzejewski;0;1;0;0
kabel;0;0;2;0
kadr;0;0;1;0
kalkulacja;0;0;1;0
kamizelka;0;0;6;0
karny;0;6;0;0
kart;0;0;1;0
kartografia;0;0;2;0
kartograficzny;0;0;2;0
kategoria;0;0;18;0
kieres;0;1;0;0
kierowaæ;1;0;2;0
kinematyka;0;0;1;0
klasyfikacja;0;0;1;0
klauzula;0;0;5;0
kodeks;0;6;0;0
kolor;11;0;0;0
kompas;0;0;2;0
kompleksowy;0;0;1;0
komputerowy;0;0;2;0
komunikacja;0;0;1;0
komunikacyjny;0;0;1;0
konferansjerka;0;0;6;0
konferencja;0;0;1;0
koniec;1;0;0;0
konstytucja;0;2;0;0
konstytucyjny;0;5;0;0
kontrola;0;0;3;0
kontrolowaæ;0;0;2;0
konwencjonalny;0;0;1;0
korespondencja;0;0;1;0
korpus;0;0;0;4
kotwiczyæ;0;0;2;0
krawêdŸ;2;0;0;0
krzy¿;4;0;0;0
kszta³cenie;0;0;2;0
kszta³t;3;0;0;0
kwadrat;1;0;2;0
kwalifikacja;0;0;1;0
kwalifikacyjny;0;0;1;0
kwiecieñ;0;0;0;1
kwota;0;0;0;6
laboratorium;0;0;3;0
laser;0;0;1;0
laserowy;0;0;3;0
laurowy;1;0;0;0
lazur;1;0;0;0
lewa;1;0;0;0
liczba;0;0;2;0
liczyæ;0;0;1;0
likwidacja;0;0;2;0
lin;0;0;2;0
liniowy;0;0;2;0
lipiec;1;0;0;0
lista;0;0;2;0
listopad;0;2;0;0
listowie;1;0;0;0
litera;2;0;0;0
literatura;0;0;1;0
literowy;0;0;2;0
liœcie;1;0;0;0
ludzki;0;0;1;0
l¹dowy;0;0;1;0
magnetyzm;0;0;1;0
maiæ;0;0;1;0
manipulacja;0;0;1;0
mapa;0;0;3;0
marka;0;0;2;0
marynarka;0;0;6;0
marynarki;0;0;1;0
masa;0;0;1;0
matematyk;0;0;2;0
ma³y;0;0;2;0
mechanik;0;0;1;0
metalowy;3;0;0;0
meteorologia;0;0;3;0
meteorologiczny;0;0;2;0
metoda;0;0;3;0
metr;2;0;0;0
mianowicie;0;1;0;0
miast;1;0;1;0
miejsce;0;0;4;0
miejscowoœæ;1;0;0;0
mieszkalnictwo;0;0;0;4
minimalizacja;0;0;0;2
minimalny;0;0;1;0
minister;7;0;2;3
ministerstwo;0;0;0;2
miêdzynarodowy;0;0;2;0
model;0;0;1;0
modelowaæ;0;0;1;0
modu³;0;0;3;0
morski;0;0;39;0
morze;0;0;9;0
mowa;0;1;8;2
mp;0;0;1;0
naczelna;0;0;0;4
nadanie;2;0;0;0
nadawanie;2;0;0;0
nadaæ;1;0;0;0
nadzorowaæ;0;0;1;0
nadzór;0;0;1;0
namiar;0;0;1;0
napis;4;0;0;0
naprawiacz;0;0;1;0
narodowy;0;0;2;0
nast¹piæ;0;0;1;0
nastêpowaæ;2;0;1;2
nauka;0;0;4;0
naukowy;0;0;1;0
nautyczny;0;0;2;0
nautyka;0;0;2;0
nawigacja;0;0;3;0
nawigacyjny;0;0;4;0
nazwa;2;0;3;0
nazwisko;0;0;4;0
negatywny;0;0;1;0
negocjacje;0;0;1;0
niejawny;0;1;0;0
niektóry;0;1;0;2
nieopodal;1;0;0;0
niepewnoœæ;0;0;1;0
niezbêdny;0;0;1;0
niezgodny;0;1;0;0
niniejszy;3;0;2;0
niwelacja;0;0;1;0
nr;2;0;0;0
numer;10;2;13;6
obejmowaæ;0;0;1;0
obliczenie;0;0;1;0
obowi¹zuj¹cy;0;1;0;0
obramowaæ;1;0;0;0
obrona;0;0;2;0
obserwacja;0;0;4;0
obszar;0;0;1;0
obszyæ;1;0;0;0
obs³uga;0;0;1;0
obustronnie;1;0;0;0
obwód;1;0;0;0
oceanografia;0;0;2;0
oceniaæ;0;0;1;0
ochrona;0;0;1;0
oczekiwany;0;0;1;0
odbiór;0;0;1;0
odbyt;0;0;2;0
odbywaæ;0;0;2;0
odbyæ;0;0;1;0
odmowa;0;0;2;0
odniesienie;0;0;3;0
odnosiæ;0;2;0;0
odpis;0;0;0;2
odpowiedni;0;0;2;0
odstêp;1;0;1;0
odwrotny;5;0;0;0
odwzorowaæ;0;0;1;0
odznaczenie;1;0;0;0
of;0;0;1;0
oferowaæ;0;0;1;0
ograniczenie;0;0;1;0
ogólny;0;0;3;0
og³osiæ;1;0;1;1
ojczyzna;3;0;0;0
okaziciel;0;0;2;0
okres;0;0;3;0
okreœlaæ;0;0;5;2
okreœlenie;2;0;0;0
okreœliæ;5;0;7;1
okreœlonych;0;0;1;0
okr¹g³y;1;0;0;0
okucie;1;0;0;0
opracowanie;0;0;1;0
opracowywaæ;0;0;2;0
oprogramowanie;0;0;3;0
optyk;0;0;1;0
opuszczaæ;0;0;2;0
organ;0;0;0;4
organizacja;0;2;14;0
organizacyjny;3;0;0;0
orzec;0;1;0;0
orzech;1;0;0;0
orzeczenie;0;1;0;0
orzekaæ;0;1;0;0
orze³;1;0;0;0
osad;0;0;1;0
osi¹gn¹æ;0;0;1;0
oskar¿yciel;0;2;0;0
osobisty;0;0;1;0
osobowy;0;0;0;2
otrzymywaæ;4;0;0;0
oznaczenie;0;0;2;0
oznaka;1;0;0;0
oznakowanie;0;0;2;0
oœrodek;0;0;10;0
pakiet;0;0;1;0
pami¹tkowy;1;0;0;0
paragraf;0;0;0;1
paszport;0;0;1;0
pañstwo;0;0;0;7
pañstwowy;9;0;0;5
paŸdziernik;0;3;0;2
pesel;0;0;1;0
pe³ny;1;0;0;0
pieczêæ;1;0;0;0
pierœcieniæ;1;0;0;0
pionowy;0;0;1;0
pisemny;0;0;2;0
planowanie;0;0;4;4
planowaæ;0;0;2;6
poczet;0;0;1;0
podanie;0;0;2;0
podaæ;0;0;1;0
podmiot;0;0;1;0
podobny;1;0;0;0
podpis;0;0;6;0
podstawa;2;3;5;1
podstawowy;0;0;1;0
podwodny;0;0;1;0
podziaæ;0;0;0;1
podzia³;0;0;0;1
pogoda;0;0;2;0
polski;2;2;1;0
pomiar;0;0;13;0
pomiarowy;0;0;8;0
ponadto;0;1;0;0
ponowny;0;0;2;0
poprawka;0;0;1;0
poprzedzaæ;0;1;0;0
posiadacz;0;0;2;0
posiadacza;0;0;1;0
posiadanie;0;0;2;0
posiadaæ;0;0;3;0
posiedzenie;0;1;0;0
posi³kowy;0;2;0;0
postanawiaæ;0;1;0;0
postanowienie;0;2;0;0
postêpowanie;0;10;0;0
poszczególny;0;0;3;0
potrzeba;0;0;1;0
potwierdzaj¹cy;0;0;3;0
potwierdzenie;0;0;1;0
potwierdziæ;0;0;1;0
powo³anie;1;0;0;0
powód;0;0;1;0
poz;2;0;0;0
poziom;0;0;7;0
pozosta³y;0;1;0;0
pozosta³ym;0;1;0;0
pozwalaæ;0;0;2;0
pozycja;10;6;12;4
pozycjonowanie;0;0;4;0
pozyskiwaæ;0;0;2;0
po³¹czyæ;1;0;0;0
poœrodek;1;0;0;0
po¿arniczy;1;0;0;0
po¿arny;5;0;0;0
prac;0;0;1;0
praca;0;0;18;2
praktyczny;0;0;7;0
praktyk;0;0;8;0
prawa;1;0;0;0
prawdopodobieñstwo;0;0;1;0
prawny;0;0;2;0
prezentacja;0;0;2;0
prezes;1;0;0;3
procedura;0;0;2;0
produkt;0;0;2;0
profil;0;0;1;0
prognozowaæ;0;0;2;0
program;0;0;10;0
programowaæ;0;0;2;0
projektowaæ;0;0;1;0
prowadzenie;0;0;6;0
prowadziæ;0;0;2;0
przedmiot;0;0;10;0
przedstawiaæ;1;0;1;0
przeniesienie;0;0;0;7
przenosiæ;0;0;0;2
przepis;0;0;1;0
przeprowadziæ;0;0;1;0
przestrzenny;0;0;4;5
przetwornik;0;0;1;0
przewidywaæ;0;0;1;0
przewidzieæ;0;0;2;0
przewodniczyæ;0;1;0;0
przybieraæ;0;0;1;0
przygotowanie;0;0;1;0
przyjmowaæ;0;0;2;0
przyj¹æ;0;0;2;0
przypadek;0;0;1;0
przyrz¹d;0;0;3;0
pr¹d;0;0;2;0
pszczó³kowski;0;1;0;0
publiczny;0;0;0;4
publikacja;0;0;4;0
publikacji;0;0;1;0
publikacyjny;0;0;1;0
punkt;1;3;4;0
pó³kole;1;0;0;0
p³at;11;0;0;0
p³yw;0;0;3;0
p³ywowy;0;0;1;0
rachunek;0;0;3;0
rad;1;0;0;3
rama;0;0;1;1
ramiê;2;0;0;0
ramowy;0;0;6;0
realizacja;0;0;1;0
realizowaæ;0;0;1;0
rezultat;0;0;1;0
rodzina;0;0;1;0
rok;4;0;1;1
rozdziaæ;0;0;0;3
rozpatrywaæ;0;0;1;0
rozpatrzenie;0;0;1;0
rozporz¹dzenie;14;0;6;6
rozpowszechniaæ;0;0;1;0
rozpoznanie;0;1;0;0
rozpraszanie;0;0;1;0
rozwój;0;0;0;1
rzeczpospolita;2;2;0;0
rzeczywisty;0;0;2;0
rz¹dowy;1;0;0;5
róg;4;0;0;0
równaæ;0;0;1;0
równoramienny;1;0;0;0
równy;1;0;0;0
ró¿niczkowy;0;0;3;0
ró¿norodny;0;0;1;0
samodzielny;0;0;2;0
satelitarny;0;0;1;0
semestr;0;0;1;0
seminarium;0;0;1;0
sieciowy;0;0;2;0
siedziba;1;0;1;0
sierpieñ;1;0;0;0
skarga;0;3;0;0
sk³ad;0;1;0;0
sk³adka;0;0;0;4
socjalna;0;0;0;2
sonar;0;0;1;0
sonarowy;0;0;1;0
specjalistyczny;0;0;3;0
spodziewany;0;0;1;0
spo³eczny;0;0;0;2
sprawa;10;0;0;1
sprawozdanie;0;0;1;0
sprawozdawca;0;1;0;0
sprzêt;0;0;1;0
srebrny;1;0;0;0
standards;0;0;1;0
statek;0;0;1;0
statystyk;0;0;4;0
stosowany;0;0;1;0
stosowaæ;0;0;1;0
stosownie;0;0;3;0
sto¿kowaty;1;0;0;0
stra¿;5;0;0;0
strefa;0;0;1;0
strona;12;0;0;0
struktura;0;0;1;0
student;0;0;1;0
stukaæ;1;0;0;0
styczeñ;2;0;0;0
stylizowaæ;1;0;0;0
surveyors;0;0;1;0
sygna³owy;1;0;0;0
system;0;0;19;0
szczegó³owy;1;0;2;1
szef;0;0;12;0
szerokoœæ;5;0;0;0
szkolenie;0;0;30;0
szkoleniowy;0;0;4;0
sztandar;17;0;0;0
s³u¿ba;1;0;0;4
tarcza;1;0;0;0
taœma;1;0;0;0
techniczny;0;0;1;0
technik;0;0;2;0
technologia;0;0;1;0
teledetekcja;0;0;4;0
telefon;0;0;1;0
temat;0;0;1;0
tematyka;0;0;1;0
teoretyczny;0;0;3;0
teoria;0;0;7;0
terenowy;0;0;1;0
termin;0;0;2;0
tkanina;1;0;0;0
to;0;1;0;0
toczony;1;0;0;0
trakt;0;0;1;0
trwanie;0;0;3;0
tryb;2;3;2;0
trybuna³;0;4;0;0
trygonometria;0;0;2;0
trzy;1;0;0;0
tuleja;0;3;0;0
tydzieñ;0;0;1;0
ubezpieczenie;0;0;0;2
ubiegaæ;0;0;2;0
uboczny;0;1;0;0
uczestnik;0;0;1;0
uk³ad;0;0;1;0
umiejêtnoœæ;0;0;4;0
umieszczaæ;3;0;0;0
umieœciæ;4;0;0;0
umorzyæ;0;2;0;0
up³yw;1;0;1;0
urz¹d;0;0;0;4
urz¹dzenie;0;0;3;0
usta;1;2;8;2
ustalenie;0;0;1;0
ustaliæ;1;0;0;0
ustaw;1;0;0;0
ustawa;6;8;14;6
us³uga;0;0;2;0
uwzglêdniaæ;0;0;1;0
uwzglêdnienie;0;0;1;0
uzgodnienie;0;0;1;0
uznanie;0;0;9;0
uznawaæ;0;0;3;0
uzupe³nienie;0;0;1;0
uzyskiwaæ;0;0;1;0
u¿ywaæ;1;0;0;0
w;1;0;1;0
warunek;0;0;1;0
wchodziæ;1;0;1;1
wczesny;0;0;1;0
wejœcie;0;1;0;0
weryfikacja;0;0;3;0
wewnêtrzny;7;0;0;0
wiarygodnoœæ;0;0;1;0
wiatr;0;0;2;0
wiedza;0;0;4;0
wielkoœæ;0;0;1;0
wieniec;2;0;0;0
wizerunek;4;0;0;0
wizualizacja;0;0;1;0
wi¹zka;0;0;1;0
wliczaæ;0;0;1;0
wniosek;0;0;7;0
wnioskodawca;0;0;3;0
woda;0;0;4;0
wodny;0;0;1;0
wojennej;0;0;1;0
wojenny;0;0;6;0
wprowadzaæ;1;0;0;0
wp³yw;0;0;3;0
wp³ywaæ;0;0;2;0
wraz;0;0;2;0
wrzesieñ;2;1;1;0
wskazanie;0;0;1;0
wspó³rzêdna;0;0;1;0
wsteczny;0;0;1;0
wstêpna;0;0;1;0
wydanie;0;0;3;0
wydatek;0;0;0;8
wydawaæ;0;0;3;0
wydaæ;0;2;0;0
wykaz;0;0;2;0
wykonaæ;4;0;1;0
wykonywaæ;0;0;9;0
wykorzystanie;0;0;1;0
wykorzystywaæ;0;0;1;0
wykszta³cenie;0;0;1;0
wyk³ad;0;0;2;0
wyk³adowca;0;0;1;0
wymaganie;0;0;3;0
wymagaæ;0;0;3;0
wymagañ;0;0;1;0
wymiar;1;0;2;0
wynagrodzenie;0;0;0;5
wynagrodziæ;0;0;0;5
wynik;0;0;2;0
wynosiæ;2;0;0;0
wyposa¿enie;0;0;2;0
wyraziæ;0;0;1;0
wyrok;0;1;0;0
wysokoœæ;4;0;1;0
wyszczególnienie;0;0;0;2
wy³¹czaæ;0;2;0;0
wzajemnie;1;0;0;0
wzd³u¿;1;0;0;0
wzywaæ;0;0;1;0
wzór;6;0;4;0
zabezpieczenie;0;0;1;0
zadanie;0;0;1;0
zagadnienie;0;0;1;0
zagospodarowaæ;0;0;0;4
zajêcia;0;0;3;0
zakoñczenie;0;0;1;0
zakres;1;3;1;1
zakresie;0;1;0;0
zak³adowy;0;0;0;2
zamierzyæ;0;0;1;0
zapad³o;0;1;0;0
zapad³y;0;1;0;0
zarz¹dzanie;0;0;2;0
zarz¹dzaæ;1;0;0;1
zasada;0;0;4;0
zaskar¿yæ;0;2;0;0
zastêpstwie;1;0;1;0
zas³ug;1;0;0;0
zawieraæ;0;0;4;0
za³¹cznik;13;0;9;8
za¿alenie;0;2;0;0
zbadanie;0;1;0;0
zbieranie;0;0;1;0
zbli¿ony;2;0;0;0
zdj¹æ;0;0;2;0
zdjêcie;0;0;1;0
zewnêtrzny;1;0;0;0
zgodnie;0;0;0;1
zgodnoœæ;0;1;0;0
zielonacki;0;1;0;0
ziem;1;0;0;0
ziemia;0;0;1;0
zmar³y;0;2;0;0
zmiana;1;1;3;1
zmieniaæ;2;0;0;0
zmniejszenie;0;0;0;2
znajdowaæ;2;0;0;0
zwaæ;0;0;3;0
zwi¹zaæ;0;0;3;0
zwi¹zek;0;2;0;0
zwiêkszenia;0;0;0;1
zwiêkszenie;0;0;0;2
z³;0;0;0;1
z³oty;7;0;0;3
z³o¿ony;0;0;2;0
z³¹cze;1;0;0;0
æwiczenia;0;0;4;0
³¹cznoœæ;0;0;2;0
œrednica;2;0;0;0
œrodek;1;0;4;0
œrodowisko;0;0;3;0
œwiadczenie;0;0;0;2
œwiatowy;0;0;3;0
œwiêty;3;0;0;0
Ÿród³o;0;0;1;0
¿egluga;0;0;1;0
¿ycie;1;1;1;1
